2014-03-19 11:06:26 startup archives unpack
2014-03-19 11:06:39 install rcconf <none> 2.5ubuntu1
2014-03-19 11:06:39 status half-installed rcconf 2.5ubuntu1
2014-03-19 11:06:40 status triggers-pending man-db 2.6.1-2ubuntu1
2014-03-19 11:06:40 status half-installed rcconf 2.5ubuntu1
2014-03-19 11:06:41 status unpacked rcconf 2.5ubuntu1
2014-03-19 11:06:41 status unpacked rcconf 2.5ubuntu1
2014-03-19 11:06:41 trigproc man-db 2.6.1-2ubuntu1 2.6.1-2ubuntu1
2014-03-19 11:06:41 status half-configured man-db 2.6.1-2ubuntu1
2014-03-19 11:06:46 status installed man-db 2.6.1-2ubuntu1
2014-03-19 11:06:47 startup packages configure
2014-03-19 11:06:47 configure rcconf 2.5ubuntu1 <none>
2014-03-19 11:06:47 status unpacked rcconf 2.5ubuntu1
2014-03-19 11:06:47 status half-configured rcconf 2.5ubuntu1
2014-03-19 11:06:57 status installed rcconf 2.5ubuntu1
2014-03-19 11:07:42 startup archives unpack
2014-03-19 11:07:42 install dialog <none> 1.1-20111020-1
2014-03-19 11:07:42 status half-installed dialog 1.1-20111020-1
2014-03-19 11:07:45 status triggers-pending man-db 2.6.1-2ubuntu1
2014-03-19 11:07:46 status half-installed dialog 1.1-20111020-1
2014-03-19 11:07:47 status unpacked dialog 1.1-20111020-1
2014-03-19 11:07:47 status unpacked dialog 1.1-20111020-1
2014-03-19 11:07:47 trigproc man-db 2.6.1-2ubuntu1 2.6.1-2ubuntu1
2014-03-19 11:07:47 status half-configured man-db 2.6.1-2ubuntu1
2014-03-19 11:07:58 status installed man-db 2.6.1-2ubuntu1
2014-03-19 11:07:59 startup packages configure
2014-03-19 11:07:59 configure dialog 1.1-20111020-1 <none>
2014-03-19 11:07:59 status unpacked dialog 1.1-20111020-1
2014-03-19 11:08:00 status half-configured dialog 1.1-20111020-1
2014-03-19 11:08:00 status installed dialog 1.1-20111020-1
2014-03-20 07:36:18 startup archives unpack
2014-03-20 07:36:29 install libcroco3 <none> 0.6.5-1ubuntu0.1
2014-03-20 07:36:29 status half-installed libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:36:30 status unpacked libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:36:30 status unpacked libcroco3 0.6.5-1ubuntu0.1
2014-03-20 07:36:31 install libdatrie1 <none> 0.2.5-3
2014-03-20 07:36:31 status half-installed libdatrie1 0.2.5-3
2014-03-20 07:36:31 status unpacked libdatrie1 0.2.5-3
2014-03-20 07:36:31 status unpacked libdatrie1 0.2.5-3
2014-03-20 07:36:32 install libgdk-pixbuf2.0-common <none> 2.26.1-1
2014-03-20 07:36:32 status half-installed libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:36:33 status unpacked libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:36:33 status unpacked libgdk-pixbuf2.0-common 2.26.1-1
2014-03-20 07:36:34 install libgdk-pixbuf2.0-0 <none> 2.26.1-1
2014-03-20 07:36:34 status half-installed libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:36:35 status unpacked libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:36:35 status unpacked libgdk-pixbuf2.0-0 2.26.1-1
2014-03-20 07:36:36 install liblcms1 <none> 1.19.dfsg-1ubuntu3
2014-03-20 07:36:36 status half-installed liblcms1 1.19.dfsg-1ubuntu3
2014-03-20 07:36:37 status unpacked liblcms1 1.19.dfsg-1ubuntu3
2014-03-20 07:36:37 status unpacked liblcms1 1.19.dfsg-1ubuntu3
2014-03-20 07:36:37 install libthai-data <none> 0.1.16-3
2014-03-20 07:36:37 status half-installed libthai-data 0.1.16-3
2014-03-20 07:36:39 status unpacked libthai-data 0.1.16-3
2014-03-20 07:36:39 status unpacked libthai-data 0.1.16-3
2014-03-20 07:36:40 install libthai0 <none> 0.1.16-3
2014-03-20 07:36:40 status half-installed libthai0 0.1.16-3
2014-03-20 07:36:41 status unpacked libthai0 0.1.16-3
2014-03-20 07:36:41 status unpacked libthai0 0.1.16-3
2014-03-20 07:36:42 install libxft2 <none> 2.2.0-3ubuntu2
2014-03-20 07:36:42 status half-installed libxft2 2.2.0-3ubuntu2
2014-03-20 07:36:42 status unpacked libxft2 2.2.0-3ubuntu2
2014-03-20 07:36:43 status unpacked libxft2 2.2.0-3ubuntu2
2014-03-20 07:36:44 install fontconfig <none> 2.8.0-3ubuntu9.1
2014-03-20 07:36:44 status half-installed fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:36:44 status triggers-pending man-db 2.6.1-2ubuntu1
2014-03-20 07:36:44 status half-installed fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:36:46 status unpacked fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:36:46 status unpacked fontconfig 2.8.0-3ubuntu9.1
2014-03-20 07:36:47 install libpango1.0-0 <none> 1.30.0-0ubuntu3.1
2014-03-20 07:36:47 status half-installed libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:36:48 status unpacked libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:36:48 status unpacked libpango1.0-0 1.30.0-0ubuntu3.1
2014-03-20 07:36:49 install librsvg2-2 <none> 2.36.1-0ubuntu1.1
2014-03-20 07:36:49 status half-installed librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:36:50 status unpacked librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:36:50 status unpacked librsvg2-2 2.36.1-0ubuntu1.1
2014-03-20 07:36:51 install libwmf0.2-7 <none> 0.2.8.4-10ubuntu1
2014-03-20 07:36:51 status half-installed libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:36:52 status unpacked libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:36:52 status unpacked libwmf0.2-7 0.2.8.4-10ubuntu1
2014-03-20 07:36:53 install liblqr-1-0 <none> 0.4.1-1.1
2014-03-20 07:36:53 status half-installed liblqr-1-0 0.4.1-1.1
2014-03-20 07:36:54 status unpacked liblqr-1-0 0.4.1-1.1
