级别	日期和时间	来源	事件 ID	任务类别
信息	2014/3/13 8:57:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2918077 成功更改为 已安装 状态。
信息	2014/3/13 8:57:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2929755 成功更改为 已安装 状态。
信息	2014/3/13 8:57:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2929733 成功更改为 已安装 状态。
信息	2014/3/13 0:18:38	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2918077 更改为 已安装 状态。
信息	2014/3/13 0:18:36	Microsoft-Windows-Servicing	1	无	启动程序包 KB2918077 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/3/13 0:18:36	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2929755 更改为 已安装 状态。
信息	2014/3/13 0:18:35	Microsoft-Windows-Servicing	1	无	启动程序包 KB2929755 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/3/13 0:18:34	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2929733 更改为 已安装 状态。
信息	2014/3/13 0:18:27	Microsoft-Windows-Servicing	1	无	启动程序包 KB2929733 的更改。当前状态为 已解析。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2014/3/12 17:44:02	Microsoft-Windows-Servicing	2	无	已将程序包 KB2930275 成功更改为 已安装 状态。
信息	2014/3/12 17:44:02	Microsoft-Windows-Servicing	2	无	已将程序包 KB2929961 成功更改为 已安装 状态。
信息	2014/3/12 17:44:02	Microsoft-Windows-Servicing	2	无	已将程序包 KB2925418 成功更改为 已安装 状态。
信息	2014/3/12 9:39:07	Microsoft-Windows-Servicing	3	无	将程序包 KB2918077 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/3/12 9:39:01	Microsoft-Windows-Servicing	1	无	启动程序包 KB2918077 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/3/12 9:38:56	Microsoft-Windows-Servicing	3	无	将程序包 KB2929755 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/3/12 9:38:50	Microsoft-Windows-Servicing	1	无	启动程序包 KB2929755 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2014/3/12 9:38:08	Microsoft-Windows-Servicing	3	无	将程序包 KB2929733 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2014/3/12 9:37:59	Microsoft-Windows-Servicing	1	无	启动程序包 KB2929733 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
