top - 10:23:00 up 7 days, 23:58,  3 users,  load average: 0.01, 0.03, 0.05
Tasks: 148 total,   1 running, 147 sleeping,   0 stopped,   0 zombie
Cpu(s):  3.5%us,  0.3%sy,  0.0%ni, 95.3%id,  0.8%wa,  0.0%hi,  0.1%si,  0.0%st
Mem:   3882176k total,  2766600k used,  1115576k free,   141392k buffers
Swap:  4009980k total,   202520k used,  3807460k free,  1649008k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                    
11554 monitor   20   0 2072m  12m 7332 S   10  0.3   0:00.05 java                                                                                                       
11553 monitor   20   0 17344 1292  940 R    2  0.0   0:00.01 top                                                                                                        
    1 root      20   0 24476 1984 1120 S    0  0.1   0:01.23 init                                                                                                       
    2 root      20   0     0    0    0 S    0  0.0   0:00.18 kthreadd                                                                                                   
    3 root      20   0     0    0    0 S    0  0.0   0:13.45 ksoftirqd/0                                                                                                
    5 root       0 -20     0    0    0 S    0  0.0   0:00.00 kworker/0:0H                                                                                               
    7 root       0 -20     0    0    0 S    0  0.0   0:00.00 kworker/u:0H                                                                                               
    8 root      RT   0     0    0    0 S    0  0.0   0:00.61 migration/0                                                                                                
    9 root      20   0     0    0    0 S    0  0.0   0:00.00 rcu_bh                                                                                                     
   10 root      20   0     0    0    0 S    0  0.0   0:45.43 rcu_sched                                                                                                  
   11 root      RT   0     0    0    0 S    0  0.0   0:02.73 watchdog/0                                                                                                 
   12 root      RT   0     0    0    0 S    0  0.0   0:02.73 watchdog/1                                                                                                 
   13 root      20   0     0    0    0 S    0  0.0   0:12.81 ksoftirqd/1                                                                                                
   14 root      RT   0     0    0    0 S    0  0.0   0:00.04 migration/1                                                                                                
   16 root       0 -20     0    0    0 S    0  0.0   0:00.00 kworker/1:0H                                                                                               
   17 root      RT   0     0    0    0 S    0  0.0   0:02.80 watchdog/2                                                                                                 
   18 root      20   0     0    0    0 S    0  0.0   0:09.99 ksoftirqd/2                                                                                                
   19 root      RT   0     0    0    0 S    0  0.0   0:00.12 migration/2                                                                                                
   21 root       0 -20     0    0    0 S    0  0.0   0:00.00 kworker/2:0H                                                                                               
   22 root      RT   0     0    0    0 S    0  0.0   0:02.68 watchdog/3                                                                                                 
   23 root      20   0     0    0    0 S    0  0.0   0:08.68 ksoftirqd/3                                                                                                
   24 root      RT   0     0    0    0 S    0  0.0   0:00.26 migration/3                                                                                                
   26 root       0 -20     0    0    0 S    0  0.0   0:00.00 kworker/3:0H                                                                                               
   27 root       0 -20     0    0    0 S    0  0.0   0:00.00 cpuset                                                                                                     
   28 root       0 -20     0    0    0 S    0  0.0   0:00.00 khelper                                                                                                    
   29 root      20   0     0    0    0 S    0  0.0   0:00.00 kdevtmpfs                                                                                                  
   30 root       0 -20     0    0    0 S    0  0.0   0:00.00 netns                                                                                                      
   31 root      20   0     0    0    0 S    0  0.0   0:00.10 bdi-default                                                                                                
   32 root       0 -20     0    0    0 S    0  0.0   0:00.00 kintegrityd                                                                                                
   33 root       0 -20     0    0    0 S    0  0.0   0:00.00 kblockd                                                                                                    
   34 root       0 -20     0    0    0 S    0  0.0   0:00.00 ata_sff                                                                                                    
   35 root      20   0     0    0    0 S    0  0.0   0:00.00 khubd                                                                                                      
   36 root       0 -20     0    0    0 S    0  0.0   0:00.00 md                                                                                                         
   37 root       0 -20     0    0    0 S    0  0.0   0:00.00 devfreq_wq                                                                                                 
   39 root      20   0     0    0    0 S    0  0.0   1:18.70 kworker/2:1                                                                                                
   41 root      20   0     0    0    0 S    0  0.0   0:00.53 khungtaskd                                                                                                 
   42 root      20   0     0    0    0 S    0  0.0   0:26.36 kswapd0                                                                                                    
   43 root      25   5     0    0    0 S    0  0.0   0:00.00 ksmd                                                                                                       
   44 root      39  19     0    0    0 S    0  0.0   0:00.00 khugepaged                                                                                                 
   45 root      20   0     0    0    0 S    0  0.0   0:00.00 fsnotify_mark                                                                                              
   46 root      20   0     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea                                                                                            
   47 root       0 -20     0    0    0 S    0  0.0   0:00.00 crypto                                                                                                     
   58 root       0 -20     0    0    0 S    0  0.0   0:00.00 kthrotld                                                                                                   
   61 root      20   0     0    0    0 S    0  0.0   1:22.72 kworker/3:1                                                                                                
